Название,Жанр,Режиссер,Страна,Год,IMDB
Чудо,"драма,комедия",Антон Дорин,Россия,2013, 
Чудо в камере № 7,комедия-драма,Ли Хванкюн,Республика Корея,2013,8.1
Читающий лица,драма,"Хан Джэрим, , , (",Республика Корея,2013,6.8
Очень страшное кино,"комедия,пародия","1,2,Кинен Айвори Уэйанс,3,4,Дэвид Цукер,5,Малкольм Д. Ли",США,, 
Ченнайский экспресс,"боевик,комедия,мелодрама","Рохит Шетти, , , (",Индия,2013,6.1
Цена человека,драма,Паоло Вирдзи,"Италия,Франция",2013,7.2
Человек из стали,,Зак Снайдер,,2013,7.1
Цвет нации,документальный фильм,Сергей Нурмамед,Россия,2013,8.3
Что творят мужчины!,комедия,"Сарик Андреасян,[1]",Россия,2013,4.9
Хроники ломбарда,"триллер,детектив,чёрная комедия",Уэйн Крэймер,США,2013,5.9
Хоть раз в жизни,"Музыкальная,комедия-драма","Джон Карни, , , (",США,2013,7.4
Хоббит: Пустошь Смауга,музыка к фильму,Питер Джексон,,Джона Р. Р. Толкина,7.8
Храброе сердце,"семейный,анимация","Томас Боденштайн,Хьюберт Вейланд,Нина Велс",Германия,10 января,4.7
Холокост — клей для обоев?,документальный,Мумин Шакиров,Россия,2013,6.3
Хамелеон,Художественный,"Руфат Гасанов,Эльвин Адыгозел","Азербайджан,Россия",2013,7.3
Хайтарма,"историческая,драма,военный фильм",Ахтем Сейтаблаев,Украина,2013,7.2
Фиш и Чип. Вредные друзья,"приключения,комедия",Дэн Креч,Канада,2013,4.9
Филомена,"драматическое,роуд-муви",Стивен Фрирз,"Великобритания,Франция",2013,7.6
Учитель английского,"комедия,драма",Крейг Зиск,США,2013,5.8
Уроки гармонии,драма,Эмир Байгазин,Казахстан,2013,7.3
Уцелевший,"военный,боевик,драма,триллер",Питер Берг,США,2013,7.5
Форсаж 6,боевик,Джастин Лин,США,2013,7.0
Копы в юбках,комедия,Пол Фиг,США,2013,6.6
Укуренные: Недетский мульт,комедия,"Бренден Чэмберс,,Эрик Д. Чэмберс",США,,4.7
Философы. Урок выживания,"триллер,драма,история,фэнтези",Джон Хаддлес,"Индонезия,США",,5.6
Улики,"фильм-триллер,криминальный фильм",Олатунде Осунсамми,США,2 мая,5.3
Единодушные жополизы,"анилингусное,порно,гонзо",Том Байрон,,2003,7.5
Classic Albums: Pink Floyd – The Making of The Dark Side of the Moon,Документальный фильм,Меттью Лонгфеллоу,Великобритания,2003,8.4
